isFraud,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFlaggedFraud
1,51,CASH_OUT,1170282.92,C555990868,1170282.92,0.0,C1318550066,173264.14,1343547.06,0
1,689,CASH_OUT,953615.38,C1034067842,953615.38,0.0,C64488744,0.0,953615.38,0
1,16,TRANSFER,788911.57,C1752438766,280.0,0.0,C932554358,0.0,693212.81,0
1,399,CASH_OUT,1000812.97,C841376758,0.0,0.0,C655888805,1134040.34,2134853.31,0
1,672,TRANSFER,330756.72,C2036720607,330756.72,0.0,C2048695496,0.0,0.0,0
1,626,CASH_OUT,55740.39,C931224089,55740.39,0.0,C1157817503,1659141.34,1714881.73,0
1,310,CASH_OUT,1334919.42,C315283970,1334919.42,0.0,C527460234,2565752.24,3900671.66,0
1,125,TRANSFER,621569.61,C288917283,621569.61,0.0,C652970534,0.0,0.0,0
1,557,CASH_OUT,839077.79,C1046755509,839077.79,0.0,C758775934,0.0,839077.79,0
1,642,TRANSFER,27998.69,C725097394,80317.0,52318.31,C657619183,0.0,27998.69,0
1,413,TRANSFER,115085.31,C2039186549,115085.31,0.0,C544794295,0.0,0.0,0
1,601,CASH_OUT,510032.45,C2047291940,0.0,0.0,C1934506991,5663861.87,6173894.33,0
1,60,TRANSFER,45807.51,C958487787,45807.51,0.0,C218393296,0.0,0.0,0
1,53,TRANSFER,931684.75,C101455775,931684.75,0.0,C1834538811,0.0,0.0,0
1,590,TRANSFER,806861.12,C1838158235,101767.0,0.0,C1745097340,0.0,806861.12,0
1,443,CASH_OUT,1591263.43,C1863182512,1591263.43,0.0,C2126274036,1147865.98,2739129.41,0
1,671,CASH_OUT,10000000.0,C546529,10000000.0,0.0,C1056895901,0.0,10000000.0,0
1,32,TRANSFER,401575.19,C2084058641,401575.19,0.0,C1017580631,0.0,0.0,0
1,701,CASH_OUT,91882.6,C1017446599,91882.6,0.0,C1901879882,144354.61,236237.2,0
1,453,TRANSFER,204249.73,C498274908,0.0,0.0,C1268108090,294660.94,498910.67,0
1,538,TRANSFER,2207995.56,C1671526256,827.0,0.0,C1601900430,135084.19,2343079.75,0
